impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,lower,2048,0.004,0.088,3416,20,32,7
cuda,lower,2048,130.47,0.142093,98228,20,32,7
serial,upper,2048,0.005,0.067,3420,30,32,0
cuda,upper,2048,130.799,0.138357,98276,30,32,0
serial,lower,2048,0.003,0.096,3368,30,32,0
cuda,lower,2048,129.115,0.137465,98312,30,32,0
serial,upper,2048,0.003,0.118,3344,30,32,7
cuda,upper,2048,132.029,0.153725,98152,30,32,7
serial,lower,2048,0.004,0.126,3364,30,32,7
cuda,lower,2048,133.018,0.145199,98376,30,32,7
serial,upper,2048,0.008,0.095,3192,40,32,0
cuda,upper,2048,129.435,0.136514,98504,40,32,0
serial,lower,2048,0.004,0.174,3196,40,32,0
cuda,lower,2048,132.279,0.144819,98348,40,32,0
serial,upper,2048,0.006,0.063,3412,40,32,7
cuda,upper,2048,132.338,0.154065,98444,40,32,7
serial,lower,2048,0.004,0.158,3408,40,32,7
cuda,lower,2048,132.896,0.144608,98300,40,32,7
serial,upper,2048,0.007,0.096,3372,50,32,0
cuda,upper,2048,132.023,0.146952,98404,50,32,0
serial,lower,2048,0.005,0.134,3420,50,32,0
cuda,lower,2048,130.893,0.164574,98468,50,32,0
serial,upper,2048,0.007,0.074,3368,50,32,7
cuda,upper,2048,134.653,0.148485,98664,50,32,7
serial,lower,2048,0.005,0.157,3416,50,32,7
cuda,lower,2048,132.516,0.133568,98448,50,32,7
serial,upper,2048,0.008,0.068,3412,60,32,0
cuda,upper,2048,131.226,0.142775,98344,60,32,0
serial,lower,2048,0.006,0.123,3304,60,32,0
cuda,lower,2048,129.928,0.155338,98364,60,32,0
serial,upper,2048,0.008,0.084,3324,60,32,7
cuda,upper,2048,136.753,0.140531,98364,60,32,7
serial,lower,2048,0.007,0.071,3248,60,32,7
cuda,lower,2048,133.177,0.155307,98540,60,32,7
serial,upper,2048,0.006,0.061,3300,70,32,0
cuda,upper,2048,130.421,0.156879,98380,70,32,0
serial,lower,2048,0.006,0.106,3368,70,32,0
cuda,lower,2048,130.7,0.153084,98724,70,32,0
serial,upper,2048,0.008,0.108,3420,70,32,7
cuda,upper,2048,132.364,0.143357,98464,70,32,7
serial,lower,2048,0.007,0.073,3348,70,32,7
cuda,lower,2048,133.469,0.138888,98576,70,32,7
serial,upper,2048,0.009,0.070,3212,80,32,0
cuda,upper,2048,132.344,0.146061,98372,80,32,0
serial,lower,2048,0.007,0.071,3420,80,32,0
cuda,lower,2048,132.747,0.144588,98628,80,32,0
serial,upper,2048,0.007,0.062,3420,80,32,7
cuda,upper,2048,131.29,0.141183,98404,80,32,7
serial,lower,2048,0.007,0.136,3420,80,32,7
cuda,lower,2048,130.777,0.143647,98544,80,32,7
serial,upper,2048,0.010,0.065,3292,90,32,0
cuda,upper,2048,132.224,0.15131,98356,90,32,0
serial,lower,2048,0.007,0.077,3292,90,32,0
cuda,lower,2048,133.731,0.14524,98572,90,32,0
