impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,lower,65536,0.182,0.195,3568,30,32,0
cuda,lower,65536,132.214,0.330785,98256,30,32,0
serial,upper,65536,0.088,0.116,3372,30,32,7
cuda,upper,65536,129.624,0.337737,98596,30,32,7
serial,lower,65536,0.125,0.153,3588,30,32,7
cuda,lower,65536,131.865,0.314967,98704,30,32,7
serial,upper,65536,0.113,0.138,3676,40,32,0
cuda,upper,65536,132.563,0.331057,98220,40,32,0
serial,lower,65536,0.124,0.145,3676,40,32,0
cuda,lower,65536,134.742,0.32798,98648,40,32,0
serial,upper,65536,0.118,0.132,3500,40,32,7
cuda,upper,65536,136.183,0.329132,98428,40,32,7
serial,lower,65536,0.148,0.131,3648,40,32,7
cuda,lower,65536,132.813,0.348046,98672,40,32,7
serial,upper,65536,0.187,0.183,3224,50,32,0
cuda,upper,65536,130.343,0.347736,98700,50,32,0
serial,lower,65536,0.142,0.178,3676,50,32,0
cuda,lower,65536,133.284,0.366068,98352,50,32,0
serial,upper,65536,0.203,0.157,3312,50,32,7
cuda,upper,65536,135.314,0.330234,98560,50,32,7
serial,lower,65536,0.142,0.123,3532,50,32,7
cuda,lower,65536,132.953,0.332328,98408,50,32,7
serial,upper,65536,0.168,0.110,3620,60,32,0
cuda,upper,65536,132.764,0.358765,98652,60,32,0
serial,lower,65536,0.226,0.144,3264,60,32,0
cuda,lower,65536,131.023,0.320736,98564,60,32,0
serial,upper,65536,0.232,0.143,3488,60,32,7
cuda,upper,65536,131.298,0.326899,98692,60,32,7
serial,lower,65536,0.163,0.122,3600,60,32,7
cuda,lower,65536,132.145,0.367231,98380,60,32,7
serial,upper,65536,0.258,0.184,3484,70,32,0
cuda,upper,65536,131.14,0.332899,98612,70,32,0
serial,lower,65536,0.189,0.146,3464,70,32,0
cuda,lower,65536,130.164,0.38318,97900,70,32,0
serial,upper,65536,0.192,0.148,3540,70,32,7
cuda,upper,65536,132.422,0.333892,98540,70,32,7
serial,lower,65536,0.188,0.179,3676,70,32,7
cuda,lower,65536,136.144,0.315738,98360,70,32,7
serial,upper,65536,0.213,0.111,3676,80,32,0
cuda,upper,65536,132.014,0.34991,98576,80,32,0
serial,lower,65536,0.314,0.177,3668,80,32,0
cuda,lower,65536,132.309,0.3391,98584,80,32,0
serial,upper,65536,0.277,0.136,3612,80,32,7
cuda,upper,65536,132.43,0.362162,98704,80,32,7
serial,lower,65536,0.320,0.137,3400,80,32,7
cuda,lower,65536,135.741,0.388231,98436,80,32,7
serial,upper,65536,0.273,0.145,3432,90,32,0
cuda,upper,65536,131.397,0.320347,98476,90,32,0
serial,lower,65536,0.248,0.178,3676,90,32,0
cuda,lower,65536,134.275,0.377199,98556,90,32,0
serial,upper,65536,0.280,0.131,3532,90,32,7
cuda,upper,65536,134.032,0.320998,98620,90,32,7
serial,lower,65536,0.241,0.130,3508,90,32,7
cuda,lower,65536,136.245,0.371721,98684,90,32,7
serial,upper,131072,0.087,0.273,3804,0,32,0
cuda,upper,131072,135.332,0.517762,98828,0,32,0
serial,lower,131072,0.086,0.183,3800,0,32,0
cuda,lower,131072,132.953,0.537659,98684,0,32,0
serial,upper,131072,0.085,0.209,3624,0,32,7
cuda,upper,131072,131.624,0.454099,98724,0,32,7
serial,lower,131072,0.100,0.176,3724,0,32,7
cuda,lower,131072,132.182,0.460019,98748,0,32,7
serial,upper,131072,0.101,0.221,3768,10,32,0
cuda,upper,131072,135.611,0.428872,98488,10,32,0
serial,lower,131072,0.193,0.208,3700,10,32,0
cuda,lower,131072,131.742,0.465179,98712,10,32,0
serial,upper,131072,0.096,0.184,3796,10,32,7
cuda,upper,131072,131.982,0.492026,98712,10,32,7
serial,lower,131072,0.106,0.208,3756,10,32,7
cuda,lower,131072,130.682,0.46637,98636,10,32,7
serial,upper,131072,0.194,0.281,3548,20,32,0
cuda,upper,131072,130.91,0.433371,98808,20,32,0
serial,lower,131072,0.187,0.199,3804,20,32,0
cuda,lower,131072,132.754,0.475395,98752,20,32,0
serial,upper,131072,0.139,0.171,3692,20,32,7
cuda,upper,131072,132.354,0.419275,98532,20,32,7
serial,lower,131072,0.286,0.179,3804,20,32,7
cuda,lower,131072,131.914,0.44904,98560,20,32,7
serial,upper,131072,0.220,0.194,3796,30,32,0
cuda,upper,131072,134.259,0.450982,98684,30,32,0
serial,lower,131072,0.222,0.187,3676,30,32,0
cuda,lower,131072,133.64,0.47145,98692,30,32,0
serial,upper,131072,0.201,0.182,3756,30,32,7
cuda,upper,131072,135.963,0.492087,98476,30,32,7
serial,lower,131072,0.312,0.258,3804,30,32,7
cuda,lower,131072,134.388,0.536337,97856,30,32,7
serial,upper,131072,0.227,0.156,3804,40,32,0
cuda,upper,131072,135.97,0.500493,98484,40,32,0
serial,lower,131072,0.250,0.176,3756,40,32,0
cuda,lower,131072,133.739,0.454299,98384,40,32,0
serial,upper,131072,0.231,0.180,3796,40,32,7
cuda,upper,131072,136.052,0.454299,98740,40,32,7
serial,lower,131072,0.409,0.170,3624,40,32,7
cuda,lower,131072,133.277,0.616902,98868,40,32,7
serial,upper,131072,0.276,0.170,3720,50,32,0
cuda,upper,131072,132.461,0.449891,98800,50,32,0
serial,lower,131072,0.503,0.179,3764,50,32,0
cuda,lower,131072,132.401,0.472353,98612,50,32,0
serial,upper,131072,0.297,0.229,3560,50,32,7
cuda,upper,131072,130.204,0.544001,98768,50,32,7
serial,lower,131072,0.422,0.223,3804,50,32,7
cuda,lower,131072,131.624,0.530136,98532,50,32,7
serial,upper,131072,0.346,0.205,3800,60,32,0
cuda,upper,131072,135.133,0.441626,98676,60,32,0
serial,lower,131072,0.325,0.219,3612,60,32,0
cuda,lower,131072,136.113,0.498268,98560,60,32,0
serial,upper,131072,0.424,0.188,3676,60,32,7
cuda,upper,131072,131.751,0.43749,98772,60,32,7
serial,lower,131072,0.378,0.213,3552,60,32,7
cuda,lower,131072,135.539,0.479154,98732,60,32,7
serial,upper,131072,0.386,0.197,3728,70,32,0
cuda,upper,131072,133.745,0.46029,98400,70,32,0
serial,lower,131072,0.405,0.178,3804,70,32,0
cuda,lower,131072,137.926,0.464087,98236,70,32,0
serial,upper,131072,0.392,0.247,3704,70,32,7
cuda,upper,131072,132.575,0.438391,98724,70,32,7
serial,lower,131072,0.552,0.179,3804,70,32,7
cuda,lower,131072,135.06,0.429193,98564,70,32,7
serial,upper,131072,0.425,0.290,3792,80,32,0
cuda,upper,131072,133.254,0.447287,98516,80,32,0
serial,lower,131072,0.683,0.181,3700,80,32,0
cuda,lower,131072,132.973,0.42747,98724,80,32,0
serial,upper,131072,0.433,0.220,3804,80,32,7
cuda,upper,131072,137.581,0.446235,98804,80,32,7
serial,lower,131072,0.419,0.198,3520,80,32,7
cuda,lower,131072,135.109,0.480886,98884,80,32,7
serial,upper,131072,0.555,0.176,3752,90,32,0
cuda,upper,131072,132.414,0.445354,98580,90,32,0
serial,lower,131072,0.481,0.177,3676,90,32,0
cuda,lower,131072,131.419,0.467364,98400,90,32,0
serial,upper,131072,0.471,0.172,3804,90,32,7
cuda,upper,131072,132.589,0.471209,98672,90,32,7
serial,lower,131072,0.559,0.194,3800,90,32,7
cuda,lower,131072,134.945,0.511522,98576,90,32,7
serial,upper,262144,0.135,0.256,3868,0,32,0
cuda,upper,262144,134.044,0.941167,98868,0,32,0
serial,lower,262144,0.230,0.270,3636,0,32,0
cuda,lower,262144,131.586,0.862526,99344,0,32,0
serial,upper,262144,0.143,0.316,3432,0,32,7
cuda,upper,262144,135.794,1.03092,99256,0,32,7
serial,lower,262144,0.232,0.286,3716,0,32,7
cuda,lower,262144,134.254,0.852398,99048,0,32,7
serial,upper,262144,0.196,0.293,3800,10,32,0
cuda,upper,262144,138.867,0.894303,99212,10,32,0
serial,lower,262144,0.407,0.322,3676,10,32,0
cuda,lower,262144,135.782,0.951265,99368,10,32,0
serial,upper,262144,0.214,0.264,3848,10,32,7
cuda,upper,262144,131.318,0.968037,99344,10,32,7
serial,lower,262144,0.407,0.284,3884,10,32,7
cuda,lower,262144,130.103,0.865933,99132,10,32,7
serial,upper,262144,0.264,0.261,3896,20,32,0
cuda,upper,262144,134.147,0.871933,99256,20,32,0
serial,lower,262144,0.674,0.306,3752,20,32,0
cuda,lower,262144,138.834,0.826892,99172,20,32,0
serial,upper,262144,0.288,0.336,3836,20,32,7
cuda,upper,262144,133.329,0.848841,99068,20,32,7
serial,lower,262144,0.478,0.269,3896,20,32,7
cuda,lower,262144,133.984,0.844023,99384,20,32,7
serial,upper,262144,0.354,0.262,3840,30,32,0
cuda,upper,262144,133.423,0.864621,99436,30,32,0
serial,lower,262144,0.371,0.283,3860,30,32,0
cuda,lower,262144,131.399,0.864961,99180,30,32,0
serial,upper,262144,0.347,0.298,3764,30,32,7
cuda,upper,262144,130.867,0.928877,99288,30,32,7
serial,lower,262144,0.634,0.340,3896,30,32,7
cuda,lower,262144,133.46,0.832783,99324,30,32,7
serial,upper,262144,0.443,0.275,3832,40,32,0
cuda,upper,262144,132.872,1.1099,99412,40,32,0
serial,lower,262144,0.612,0.304,3860,40,32,0
cuda,lower,262144,135.822,1.02293,98960,40,32,0
serial,upper,262144,0.611,0.288,3828,40,32,7
cuda,upper,262144,133.276,0.89744,98832,40,32,7
serial,lower,262144,0.487,0.312,3760,40,32,7
cuda,lower,262144,133.167,0.855525,99100,40,32,7
serial,upper,262144,0.558,0.269,3900,50,32,0
cuda,upper,262144,135.388,0.821994,98948,50,32,0
serial,lower,262144,1.019,0.305,3644,50,32,0
cuda,lower,262144,135.301,0.884968,99248,50,32,0
serial,upper,262144,0.546,0.273,3892,50,32,7
cuda,upper,262144,133.341,1.01244,98896,50,32,7
serial,lower,262144,0.699,0.361,3876,50,32,7
cuda,lower,262144,133.014,0.840556,99404,50,32,7
serial,upper,262144,0.679,0.275,3676,60,32,0
cuda,upper,262144,136.792,0.879036,99120,60,32,0
serial,lower,262144,0.655,0.277,3848,60,32,0
cuda,lower,262144,134.741,0.916685,98672,60,32,0
serial,upper,262144,0.836,0.366,3932,60,32,7
cuda,upper,262144,138.553,0.871494,99128,60,32,7
serial,lower,262144,0.914,0.322,3740,60,32,7
cuda,lower,262144,135.712,0.925391,99528,60,32,7
serial,upper,262144,0.811,0.342,3768,70,32,0
cuda,upper,262144,132.689,0.845146,99072,70,32,0
serial,lower,262144,1.003,0.311,3812,70,32,0
cuda,lower,262144,135.634,0.84201,99044,70,32,0
serial,upper,262144,0.954,0.286,3796,70,32,7
cuda,upper,262144,134.188,0.878827,99400,70,32,7
serial,lower,262144,0.749,0.269,3672,70,32,7
cuda,lower,262144,133.454,0.840187,99448,70,32,7
serial,upper,262144,0.860,0.310,3644,80,32,0
cuda,upper,262144,133.702,0.861366,99500,80,32,0
serial,lower,262144,0.939,0.309,3844,80,32,0
cuda,lower,262144,134.609,0.832244,99468,80,32,0
serial,upper,262144,0.843,0.285,3708,80,32,7
cuda,upper,262144,135.321,0.900066,99504,80,32,7
serial,lower,262144,0.941,0.266,3856,80,32,7
cuda,lower,262144,133.102,0.878507,99044,80,32,7
serial,upper,262144,0.949,0.295,3624,90,32,0
cuda,upper,262144,132.258,0.852119,99616,90,32,0
serial,lower,262144,0.951,0.267,3688,90,32,0
cuda,lower,262144,131.516,0.881573,99200,90,32,0
serial,upper,262144,0.903,0.270,3656,90,32,7
cuda,upper,262144,133.594,1.30036,99224,90,32,7
serial,lower,262144,0.933,0.299,3704,90,32,7
cuda,lower,262144,135.764,0.866325,99328,90,32,7
serial,upper,524288,0.277,0.466,4112,0,32,0
cuda,upper,524288,136.454,1.64971,100072,0,32,0
serial,lower,524288,0.252,0.452,4136,0,32,0
cuda,lower,524288,133.138,1.53808,100236,0,32,0
serial,upper,524288,0.281,0.455,4008,0,32,7
cuda,upper,524288,134.136,1.83537,100364,0,32,7
serial,lower,524288,0.255,0.461,3744,0,32,7
cuda,lower,524288,132.602,1.59598,100388,0,32,7
serial,upper,524288,0.377,0.455,3968,10,32,0
cuda,upper,524288,133.129,3.28808,100568,10,32,0
serial,lower,524288,0.449,0.458,4136,10,32,0
cuda,lower,524288,136.133,1.51384,100408,10,32,0
serial,upper,524288,0.382,0.462,3960,10,32,7
cuda,upper,524288,135.144,2.33759,100436,10,32,7
serial,lower,524288,0.573,0.533,3944,10,32,7
cuda,lower,524288,135.597,1.45517,100368,10,32,7
serial,upper,524288,0.533,0.452,3924,20,32,0
cuda,upper,524288,133.141,2.39493,100188,20,32,0
serial,lower,524288,0.578,0.477,3892,20,32,0
cuda,lower,524288,134.166,1.49617,100308,20,32,0
serial,upper,524288,0.526,0.478,4132,20,32,7
cuda,upper,524288,135.929,1.7171,100360,20,32,7
serial,lower,524288,0.571,0.488,4108,20,32,7
cuda,lower,524288,129.715,1.46763,100256,20,32,7
serial,upper,524288,0.694,0.457,3956,30,32,0
cuda,upper,524288,134.719,2.08958,100300,30,32,0
serial,lower,524288,1.007,0.470,4092,30,32,0
cuda,lower,524288,132.589,1.43168,100164,30,32,0
serial,upper,524288,0.706,0.450,3992,30,32,7
cuda,upper,524288,138.046,1.47309,100272,30,32,7
serial,lower,524288,0.854,0.572,4040,30,32,7
cuda,lower,524288,136.324,1.54814,100160,30,32,7
serial,upper,524288,0.886,0.444,4048,40,32,0
cuda,upper,524288,133.814,2.19826,100300,40,32,0
serial,lower,524288,0.936,0.557,3984,40,32,0
cuda,lower,524288,137.131,1.48923,100016,40,32,0
serial,upper,524288,0.904,0.464,4020,40,32,7
cuda,upper,524288,133.29,1.64171,100360,40,32,7
serial,lower,524288,0.907,0.450,3652,40,32,7
cuda,lower,524288,132.373,1.45937,100368,40,32,7
serial,upper,524288,1.091,0.522,3884,50,32,0
cuda,upper,524288,138.184,2.07742,100128,50,32,0
serial,lower,524288,1.120,0.492,3960,50,32,0
cuda,lower,524288,132.828,1.50995,100340,50,32,0
serial,upper,524288,1.089,0.465,4100,50,32,7
cuda,upper,524288,132.846,2.33447,100412,50,32,7
serial,lower,524288,1.128,0.458,3900,50,32,7
cuda,lower,524288,134.5,1.48654,100044,50,32,7
serial,upper,524288,1.304,0.739,3888,60,32,0
cuda,upper,524288,133.834,2.25738,100644,60,32,0
serial,lower,524288,1.344,0.451,3816,60,32,0
cuda,lower,524288,133.014,1.4884,100272,60,32,0
serial,upper,524288,1.309,0.525,4032,60,32,7
cuda,upper,524288,136.545,3.44187,100164,60,32,7
serial,lower,524288,1.298,0.458,4060,60,32,7
cuda,lower,524288,132.907,1.51816,100284,60,32,7
serial,upper,524288,1.524,0.627,4004,70,32,0
cuda,upper,524288,133.289,2.34764,100240,70,32,0
serial,lower,524288,1.526,0.531,3960,70,32,0
cuda,lower,524288,134.135,1.48335,100176,70,32,0
serial,upper,524288,1.521,0.447,4092,70,32,7
cuda,upper,524288,131.337,2.2128,100376,70,32,7
serial,lower,524288,1.630,0.551,3924,70,32,7
cuda,lower,524288,131.858,1.46901,100384,70,32,7
serial,upper,524288,1.674,0.535,3792,80,32,0
cuda,upper,524288,131.895,1.94945,100476,80,32,0
serial,lower,524288,1.714,0.581,4008,80,32,0
cuda,lower,524288,131.423,1.64526,100400,80,32,0
serial,upper,524288,1.700,0.516,4020,80,32,7
cuda,upper,524288,132.502,1.97869,100328,80,32,7
serial,lower,524288,1.735,0.639,4008,80,32,7
cuda,lower,524288,137.028,1.51263,100156,80,32,7
serial,upper,524288,1.871,0.457,3980,90,32,0
cuda,upper,524288,133.493,2.23143,100240,90,32,0
serial,lower,524288,1.819,0.480,4100,90,32,0
cuda,lower,524288,133.467,1.6787,100188,90,32,0
serial,upper,524288,1.803,0.463,4060,90,32,7
cuda,upper,524288,137.921,2.45727,100156,90,32,7
serial,lower,524288,1.827,0.478,4016,90,32,7
cuda,lower,524288,135.418,1.43949,100408,90,32,7
serial,upper,1048576,0.568,1.033,4404,0,32,0
cuda,upper,1048576,134.653,3.98358,100964,0,32,0
serial,lower,1048576,0.523,0.824,4356,0,32,0
cuda,lower,1048576,135.041,2.75268,101716,0,32,0
serial,upper,1048576,0.554,0.851,4292,0,32,7
cuda,upper,1048576,133.336,3.82845,101336,0,32,7
serial,lower,1048576,0.540,0.815,4592,0,32,7
cuda,lower,1048576,132.698,2.69825,101544,0,32,7
serial,upper,1048576,0.761,0.823,4332,10,32,0
cuda,upper,1048576,132.878,3.80304,101340,10,32,0
serial,lower,1048576,0.845,0.820,4580,10,32,0
cuda,lower,1048576,131.28,2.69703,101124,10,32,0
serial,upper,1048576,0.761,0.888,4280,10,32,7
cuda,upper,1048576,138.141,3.91687,101520,10,32,7
serial,lower,1048576,0.856,0.839,4612,10,32,7
cuda,lower,1048576,133.17,2.66146,101708,10,32,7
serial,upper,1048576,1.109,0.829,4580,20,32,0
cuda,upper,1048576,135.254,2.93167,101256,20,32,0
serial,lower,1048576,1.325,0.866,4464,20,32,0
cuda,lower,1048576,133.412,2.76852,101308,20,32,0
serial,upper,1048576,1.065,0.849,4300,20,32,7
cuda,upper,1048576,134.165,3.82796,101676,20,32,7
serial,lower,1048576,1.147,0.817,4584,20,32,7
cuda,lower,1048576,133.938,2.69048,101632,20,32,7
serial,upper,1048576,1.394,0.839,4364,30,32,0
cuda,upper,1048576,134.335,3.87237,101592,30,32,0
serial,lower,1048576,1.549,0.844,4452,30,32,0
cuda,lower,1048576,132.387,2.75266,101088,30,32,0
serial,upper,1048576,1.420,0.827,4476,30,32,7
cuda,upper,1048576,133.235,3.97869,101536,30,32,7
serial,lower,1048576,1.470,0.864,4608,30,32,7
cuda,lower,1048576,133.325,2.70685,101552,30,32,7
serial,upper,1048576,1.740,0.921,4396,40,32,0
cuda,upper,1048576,134.145,3.58133,101544,40,32,0
serial,lower,1048576,1.803,0.832,4236,40,32,0
cuda,lower,1048576,134.905,2.7256,101188,40,32,0
serial,upper,1048576,1.732,0.861,4476,40,32,7
cuda,upper,1048576,137.244,4.02416,101508,40,32,7
serial,lower,1048576,1.819,0.859,4616,40,32,7
cuda,lower,1048576,136.807,2.78017,101276,40,32,7
serial,upper,1048576,2.185,0.928,4444,50,32,0
cuda,upper,1048576,132.26,3.6208,101128,50,32,0
serial,lower,1048576,2.173,1.114,4568,50,32,0
cuda,lower,1048576,137.723,2.9635,101408,50,32,0
serial,upper,1048576,2.192,0.852,4320,50,32,7
cuda,upper,1048576,133.998,3.49282,101600,50,32,7
serial,lower,1048576,2.175,0.823,4580,50,32,7
cuda,lower,1048576,133.094,2.87303,101208,50,32,7
serial,upper,1048576,2.757,0.927,4320,60,32,0
cuda,upper,1048576,133.349,4.24643,101324,60,32,0
serial,lower,1048576,2.565,0.911,4616,60,32,0
cuda,lower,1048576,135.585,2.70072,101476,60,32,0
serial,upper,1048576,2.683,0.847,4428,60,32,7
cuda,upper,1048576,133.345,3.85134,101688,60,32,7
serial,lower,1048576,2.566,0.835,4484,60,32,7
cuda,lower,1048576,133.437,2.7837,101408,60,32,7
serial,upper,1048576,3.002,0.864,4620,70,32,0
cuda,upper,1048576,134.765,3.83523,101192,70,32,0
serial,lower,1048576,2.982,0.897,4100,70,32,0
cuda,lower,1048576,137.531,2.70966,101048,70,32,0
serial,upper,1048576,2.852,0.889,4532,70,32,7
cuda,upper,1048576,131.61,4.52219,101476,70,32,7
serial,lower,1048576,2.977,0.839,4592,70,32,7
cuda,lower,1048576,136.889,2.88563,101632,70,32,7
serial,upper,1048576,3.331,0.875,4528,80,32,0
cuda,upper,1048576,137.688,3.88365,101432,80,32,0
serial,lower,1048576,3.377,0.912,4488,80,32,0
cuda,lower,1048576,133.719,2.78418,101388,80,32,0
serial,upper,1048576,3.402,1.036,4464,80,32,7
cuda,upper,1048576,134.625,3.85122,101628,80,32,7
serial,lower,1048576,3.354,0.808,4524,80,32,7
cuda,lower,1048576,133.168,2.70696,101400,80,32,7
serial,upper,1048576,3.585,0.891,4348,90,32,0
cuda,upper,1048576,132.529,3.92824,101268,90,32,0
serial,lower,1048576,3.705,0.916,4416,90,32,0
cuda,lower,1048576,134.324,2.8127,101068,90,32,0
serial,upper,1048576,3.640,0.925,4524,90,32,7
cuda,upper,1048576,133.081,3.97524,101512,90,32,7
serial,lower,1048576,3.662,0.882,4348,90,32,7
cuda,lower,1048576,132.924,2.77332,101564,90,32,7
serial,upper,2097152,1.094,1.597,5344,0,32,0
cuda,upper,2097152,132.338,6.91133,103344,0,32,0
serial,lower,2097152,1.030,1.581,5640,0,32,0
cuda,lower,2097152,133.314,5.46575,103776,0,32,0
serial,upper,2097152,1.105,1.620,5536,0,32,7
cuda,upper,2097152,132.819,6.2827,103716,0,32,7
serial,lower,2097152,1.145,1.553,5644,0,32,7
cuda,lower,2097152,132.854,5.34179,103748,0,32,7
serial,upper,2097152,1.528,1.569,5412,10,32,0
cuda,upper,2097152,132.607,6.53191,103636,10,32,0
serial,lower,2097152,1.700,1.608,5280,10,32,0
cuda,lower,2097152,136.784,5.12812,103708,10,32,0
serial,upper,2097152,1.880,1.634,5384,10,32,7
cuda,upper,2097152,136.383,7.19159,103500,10,32,7
serial,lower,2097152,1.654,1.563,5300,10,32,7
cuda,lower,2097152,131.784,5.5323,103572,10,32,7
serial,upper,2097152,2.105,1.626,5668,20,32,0
cuda,upper,2097152,136.457,6.12087,103784,20,32,0
serial,lower,2097152,2.278,1.565,5516,20,32,0
cuda,lower,2097152,128.846,5.44842,103504,20,32,0
serial,upper,2097152,2.129,1.610,5608,20,32,7
cuda,upper,2097152,131.857,6.70342,103632,20,32,7
serial,lower,2097152,2.329,1.592,5568,20,32,7
cuda,lower,2097152,133.634,5.55301,103320,20,32,7
serial,upper,2097152,2.758,1.579,5668,30,32,0
cuda,upper,2097152,132.812,6.44396,103716,30,32,0
serial,lower,2097152,2.947,1.586,5700,30,32,0
cuda,lower,2097152,133.503,5.31201,103604,30,32,0
serial,upper,2097152,2.750,1.638,5436,30,32,7
cuda,upper,2097152,134.999,6.95636,103072,30,32,7
serial,lower,2097152,2.941,1.563,5628,30,32,7
cuda,lower,2097152,132.768,5.36053,103676,30,32,7
serial,upper,2097152,3.479,1.621,5604,40,32,0
cuda,upper,2097152,133.246,6.28462,103444,40,32,0
serial,lower,2097152,3.612,1.562,5636,40,32,0
cuda,lower,2097152,135.623,5.64016,103328,40,32,0
serial,upper,2097152,3.447,1.563,5412,40,32,7
cuda,upper,2097152,133.581,6.27398,103596,40,32,7
serial,lower,2097152,3.583,1.565,5476,40,32,7
cuda,lower,2097152,132.321,5.23374,103480,40,32,7
serial,upper,2097152,4.229,1.612,5476,50,32,0
cuda,upper,2097152,132.68,6.32249,103556,50,32,0
serial,lower,2097152,4.344,1.619,5644,50,32,0
cuda,lower,2097152,131.988,5.29381,103628,50,32,0
serial,upper,2097152,4.306,1.594,5632,50,32,7
cuda,upper,2097152,133.069,6.33215,103760,50,32,7
serial,lower,2097152,4.389,1.594,5668,50,32,7
cuda,lower,2097152,133.871,5.29697,103216,50,32,7
serial,upper,2097152,5.091,1.834,5108,60,32,0
cuda,upper,2097152,135.957,7.0107,103564,60,32,0
serial,lower,2097152,5.153,1.528,5548,60,32,0
cuda,lower,2097152,134.118,5.25694,103676,60,32,0
serial,upper,2097152,5.167,1.605,5708,60,32,7
cuda,upper,2097152,132.737,6.51484,103784,60,32,7
serial,lower,2097152,5.106,1.620,5600,60,32,7
cuda,lower,2097152,130.82,5.17216,103528,60,32,7
serial,upper,2097152,5.987,1.611,5548,70,32,0
cuda,upper,2097152,134.679,6.62581,103560,70,32,0
serial,lower,2097152,5.881,1.579,5504,70,32,0
cuda,lower,2097152,134.242,5.33081,103616,70,32,0
serial,upper,2097152,5.909,1.599,5704,70,32,7
cuda,upper,2097152,133.363,6.61262,103216,70,32,7
serial,lower,2097152,5.971,1.665,5636,70,32,7
cuda,lower,2097152,132.943,5.64953,103292,70,32,7
serial,upper,2097152,6.565,1.573,5592,80,32,0
cuda,upper,2097152,135.529,6.9503,103568,80,32,0
serial,lower,2097152,6.729,1.560,5516,80,32,0
cuda,lower,2097152,134.085,5.31859,103264,80,32,0
serial,upper,2097152,6.895,1.640,5460,80,32,7
cuda,upper,2097152,132.479,6.28891,103500,80,32,7
serial,lower,2097152,6.704,1.583,5668,80,32,7
cuda,lower,2097152,132.739,5.62233,103360,80,32,7
serial,upper,2097152,7.298,1.689,5652,90,32,0
cuda,upper,2097152,133.496,6.28488,103564,90,32,0
serial,lower,2097152,7.274,1.589,5616,90,32,0
cuda,lower,2097152,134.452,5.12941,103748,90,32,0
serial,upper,2097152,7.406,1.801,5240,90,32,7
cuda,upper,2097152,133.144,6.54887,103444,90,32,7
serial,lower,2097152,7.262,1.631,5472,90,32,7
cuda,lower,2097152,134.613,5.41831,103440,90,32,7
serial,upper,4194304,2.182,4.274,7620,0,32,0
cuda,upper,4194304,137.706,12.8617,107648,0,32,0
serial,lower,4194304,2.100,4.030,7328,0,32,0
cuda,lower,4194304,133.138,10.7441,107772,0,32,0
serial,upper,4194304,2.194,4.221,7552,0,32,7
cuda,upper,4194304,132.969,11.9039,107504,0,32,7
serial,lower,4194304,2.049,4.157,7628,0,32,7
cuda,lower,4194304,135.43,11.3831,107608,0,32,7
serial,upper,4194304,3.039,4.001,7716,10,32,0
cuda,upper,4194304,132.313,12.3339,107556,10,32,0
serial,lower,4194304,3.389,4.069,7716,10,32,0
cuda,lower,4194304,136.17,10.9451,107752,10,32,0
serial,upper,4194304,3.023,3.836,7508,10,32,7
cuda,upper,4194304,131.618,12.7802,107304,10,32,7
serial,lower,4194304,3.359,4.481,7672,10,32,7
cuda,lower,4194304,134.728,10.616,107696,10,32,7
serial,upper,4194304,4.257,4.622,7744,20,32,0
cuda,upper,4194304,132.038,13.3851,107524,20,32,0
serial,lower,4194304,4.593,4.194,7752,20,32,0
cuda,lower,4194304,132.535,10.7498,107596,20,32,0
serial,upper,4194304,4.267,4.388,7692,20,32,7
cuda,upper,4194304,141.302,11.8916,107500,20,32,7
serial,lower,4194304,4.835,3.971,7280,20,32,7
cuda,lower,4194304,132.193,10.537,107708,20,32,7
serial,upper,4194304,5.462,4.101,7500,30,32,0
cuda,upper,4194304,133.341,11.8673,107624,30,32,0
serial,lower,4194304,5.907,3.331,7696,30,32,0
cuda,lower,4194304,134.754,10.6418,107456,30,32,0
serial,upper,4194304,5.453,4.173,7192,30,32,7
cuda,upper,4194304,132.328,12.2123,107360,30,32,7
serial,lower,4194304,5.889,4.259,7724,30,32,7
cuda,lower,4194304,133.015,10.0063,107672,30,32,7
serial,upper,4194304,6.883,4.067,7220,40,32,0
cuda,upper,4194304,132.728,11.0844,107728,40,32,0
serial,lower,4194304,7.247,3.780,7676,40,32,0
cuda,lower,4194304,135.325,11.606,107904,40,32,0
serial,upper,4194304,7.081,4.195,7476,40,32,7
cuda,upper,4194304,136.08,12.7162,107716,40,32,7
serial,lower,4194304,7.264,4.230,7704,40,32,7
cuda,lower,4194304,134.637,11.087,107752,40,32,7
serial,upper,4194304,8.416,4.101,7260,50,32,0
cuda,upper,4194304,138.109,12.8455,107300,50,32,0
serial,lower,4194304,8.752,4.192,7720,50,32,0
cuda,lower,4194304,134.734,10.704,107728,50,32,0
serial,upper,4194304,8.799,4.388,7576,50,32,7
cuda,upper,4194304,136.194,12.4421,107800,50,32,7
serial,lower,4194304,8.671,4.418,7696,50,32,7
cuda,lower,4194304,134.479,10.9933,107484,50,32,7
serial,upper,4194304,10.036,3.968,7300,60,32,0
cuda,upper,4194304,134.577,12.7589,107516,60,32,0
serial,lower,4194304,10.285,4.149,7744,60,32,0
cuda,lower,4194304,136.939,11.8141,107420,60,32,0
serial,upper,4194304,10.117,4.382,7028,60,32,7
cuda,upper,4194304,135.225,12.941,107776,60,32,7
serial,lower,4194304,10.292,4.175,7756,60,32,7
